erlösen,hat erlöst,to deliver;to release
aufmachen,hat aufgemacht,to open
ausbleiben,ist ausgeblieben,to fail to appear;to hold off
aufsetzen,hat aufgesetzt,to put on (e.g. glasses);to set up
sich abfinden mit,sich hat abgefunden,to come to terms with
empfinden,hat empfunden,to feel;to sense
herausfinden,hat herausgefunden,to find out
abgehen,ist abgegangen,to leave;to come away
angehen,ist angegangen,to tackle;to concern something
ausgehen,ist ausgegangen,to go out
aufgehen,ist aufgegangen,to rise
durchgehen,ist durchgegangen,to go through
mitgehen,ist mitgegangen,to accompany
nachgehen,ist nachgegangen,to pursue;to go after
vorgehen,ist vorgegangen,to proceed
übergehen,hat übergangen,to skip;to ignore
umgehen,hat umgangen,to avoid;to bypass
untergehen,ist untergegangen,to sink;to go down
zugehen,ist zugegangen,to approach
verkaufen,hat verkauft,to sell
einkaufen,hat eingekauft,to shop
ankommen,ist angekommen,to arrive
abkommen,ist abgekommen,to stray
aufkommen,ist aufgekommen,to come up;to arise
auskommen,ist ausgekommen,to manage;to get by
bekommen,hat bekommen,to receive
durchkommen,ist durchgekommen,to get through;to pass through
entkommen,ist entkommen,to escape
mitkommen,ist mitgekommen,to come along;to join
nachkommen,ist nachgekommen,to comply;to fulfil
überkommen,hat überkommen,to overcome
verkommen,ist verkommen,to run wild;to fall apart
vorkommen,ist vorgekommen,to occur;to happen
zukommen,hat zugekommen,to become
auslassen,hat ausgelassen,to omit
durchlassen,hat durchgelassen,to let through
entlassen,hat entlassen,to release;to fire
nachlassen,hat nachgelassen,to abate;to subside
unterlassen,hat unterlassen,to refrain from
zulassen,hat zugelassen,to allow
aufleben,ist aufgelebt,to revive;to liven up
ausleben,hat ausgelebt,to run free
überleben,hat überlebt,to survive
mitteilen,hat mitgeteilt,to tell somebody something;to inform
umziehen,ist umgezogen,to move
überziehen,hat übergezogen,to put on
sich ausziehen,sich hat ausgezogen,to take off one's clothes (self)
ausziehen,hat ausgezogen,to pull out
aufziehen,hat aufgezogen,to pull up;to open
anziehen,hat angezogen,to put on;to attract
ausbleiben,ist ausgeblieben,to fail to appear
aufbleiben,ist aufgeblieben,to stay up (for someone)
ansehen,hat angesehen,to view
aussehen,hat ausgesehen,to look like;to appear
umsehen,sich hat umgesehen,to look around
durchsehen,hat durchgesehen,to look over (z.b. etwas überprüfen)
sich übersehen,sich hat übergesehen (Dat),to overlook something;etwas allzu oft sehen und es deshalb nicht mehr sehen mögen
aufsehen,hat aufgesehen,to look up
bestellen,hat bestellt,to order
anstellen,hat angestellt,to lean on;to flow;to attempt
aufstellen,hat aufgestellt,to arrange;to establish
abstellen,hat abgestellt,to put down;to turn off
absehen,hat abgesehen,to forsee;to learn something from someone else
loskommen,ist losgekommen,to break loose
ausgeben,hat ausgegeben,to give out (z.b. Geld)
vergeben,hat vergeben,to forgive;to award
aussuchen,hat ausgesucht,to select
besuchen,hat besucht,to visit
versuchen,hat versucht,to try
anrufen,hat angerufen,to call someonez.b. on the phone
aufrufen,hat aufgerufen,to call for - z.b. a protest
